,Person,Platform,Movie,RR,EDA
0,2.0,1.0,1.0,1.0436245,3.3088
0,2.0,1.0,1.0,1.0196838,3.3073
0,2.0,1.0,1.0,1.0387598,3.3073
0,2.0,1.0,1.0,1.0091452,3.3073
0,2.0,1.0,1.0,1.0482356,3.3058
0,2.0,1.0,1.0,1.0563678,3.3043
0,2.0,1.0,1.0,1.0470961,3.3103
0,2.0,1.0,1.0,1.0965244,3.3103
0,2.0,1.0,1.0,1.0384729,3.3103
0,2.0,1.0,1.0,1.1328125,3.3058
0,2.0,1.0,1.0,1.0224677,3.3058
0,2.0,1.0,1.0,1.0918423,3.3043
0,2.0,1.0,1.0,1.0447355,3.3013
0,2.0,1.0,1.0,1.0560094,3.2998
0,2.0,1.0,1.0,1.0530992,3.2983
0,2.0,1.0,1.0,0.97297691,3.2968
0,2.0,1.0,1.0,0.98122374,3.2953
0,2.0,1.0,1.0,1.0025133,3.2923
0,2.0,1.0,1.0,0.98680115,3.2923
0,2.0,1.0,1.0,1.0558547,3.2938
0,2.0,1.0,1.0,1.077383,3.2908
0,2.0,1.0,1.0,1.1100878,3.2893
0,2.0,1.0,1.0,1.1516214,3.2908
0,2.0,1.0,1.0,1.1653864,3.2893
0,2.0,1.0,1.0,1.1764475,3.2863
0,2.0,1.0,1.0,1.2067036,3.2848
0,2.0,1.0,1.0,1.1389617,3.2833
0,2.0,1.0,1.0,1.1760516,3.2818
0,2.0,1.0,1.0,1.1179559,3.2788
0,2.0,1.0,1.0,1.0897012,3.2773
0,2.0,1.0,1.0,1.0704225,3.2758
0,2.0,1.0,1.0,1.0332031,3.2728
0,2.0,1.0,1.0,1.0848644,3.2713
0,2.0,1.0,1.0,1.1212565,3.2713
0,2.0,1.0,1.0,1.114973,3.2698
0,2.0,1.0,1.0,1.1501986,3.2698
0,2.0,1.0,1.0,1.0891817,3.2698
0,2.0,1.0,1.0,1.1489593,3.2668
0,2.0,1.0,1.0,1.0941957,3.2638
0,2.0,1.0,1.0,1.1233628,3.2623
0,2.0,1.0,1.0,1.112036,3.2608
0,2.0,1.0,1.0,1.0918906,3.2593
0,2.0,1.0,1.0,1.1253333,3.2563
0,2.0,1.0,1.0,1.0887579,3.2578
0,2.0,1.0,1.0,1.1075721,3.2548
0,2.0,1.0,1.0,1.03125,3.2533
0,2.0,1.0,1.0,1.03125,3.2518
0,3.0,1.0,1.0,1.0074153,3.1273
0,3.0,1.0,1.0,0.99496528,3.1213
0,3.0,1.0,1.0,0.87061738,3.1153
0,3.0,1.0,1.0,0.7859375,3.1138
0,3.0,1.0,1.0,0.96544845,3.1108
0,3.0,1.0,1.0,1.1159123,3.1093
0,3.0,1.0,1.0,0.94409096,3.1063
0,3.0,1.0,1.0,1.1080133,3.1063
0,3.0,1.0,1.0,1.0763232,3.1063
0,3.0,1.0,1.0,0.92823864,3.1033
0,3.0,1.0,1.0,0.97356262,3.1018
0,3.0,1.0,1.0,1.0089565,3.0973
0,3.0,1.0,1.0,0.97520965,3.0928
0,3.0,1.0,1.0,0.89904416,3.0883
0,3.0,1.0,1.0,0.94613233,3.0883
0,3.0,1.0,1.0,0.89890293,3.1288
0,3.0,1.0,1.0,0.7902114,3.1753
0,3.0,1.0,1.0,0.86271391,3.1858
0,3.0,1.0,1.0,1.0057893,3.1813
0,3.0,1.0,1.0,1.1088164,3.1723
0,3.0,1.0,1.0,1.061174,3.1663
0,3.0,1.0,1.0,1.0114696,3.1603
0,3.0,1.0,1.0,1.0219804,3.1528
0,3.0,1.0,1.0,0.95570959,3.1453
0,3.0,1.0,1.0,0.90487753,3.1408
0,3.0,1.0,1.0,1.0072266,3.1318
0,3.0,1.0,1.0,1.0296321,3.1318
0,3.0,1.0,1.0,1.0453784,3.1258
0,3.0,1.0,1.0,1.016659,3.1213
